model,train_accuracy,val_accuracy,cv_mean_accuracy,cv_std_accuracy,training_time
XGBoost,0.9766845703125,0.67626953125,0.8670654476023604,0.004963926950733277,0.9335887432098389
Extra Trees,0.7816162109375,0.6240234375,0.7656240105904535,0.01047385228410488,0.24045896530151367
Random Forest,0.754638671875,0.61376953125,0.7298578379115293,0.005641405240006591,0.9091839790344238
Decision Tree,0.6392822265625,0.525390625,0.6193864301246852,0.016936718269038094,0.2497110366821289
